path,title,order,section,description
"/welcome","Welcome and Introduction","1A","Introduction","Getting started with the Introduction to Redux workshop"
"/welcome","Redux's API","2A","Redux Without React","Getting Comfortable With Redux By Itself"
"/create-store","Redux Stores and Reducers","2B","Redux Without React","Creating Stores and Reducers"
"/stores-and-dispatch","Redux Stores and Dispatch","2C","Redux Without React","Dispatching to the Store"
"/subscribing-to-the-store","Subscring to Store Changes","2D","Redux Without React","Creating Stores and Reducers"
"/bind-action-creators","Bind Action Creators","2E","Redux Without React","Creating Stores and Reducers"
"/combine-reducers","Combine Reducers","2F","Redux Without React","Creating Stores and Reducers"
"/middleware-and-enhancers","Middleware and Enhancers","2G","Redux Without React","Creating Stores and Reducers"
"/basic-redux-functionality","Implementing the Basic Logic","3A","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/introduction-to-react-redux","Introductiton to React Redux","3B","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/redux-dev-tools","Adding the Redux Dev Tools","3C","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/hooking-up-state","Hooking Up State","3D","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/hooking-up-dispatch","Hooking Up Dispatch","3E","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/exercise-react-redux-hooks","Exercise: Adding SetCounter","3F","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/solution-react-redux-hooks","Solution: Adding SetCounter","3G","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/use-actions","Binding Actions","3H","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/abstracting-hooks","Abstracting Logic Into a Custom Hook","3I","Hooking It Up With React","Getting started and an introduction to TypeScript && React Workshop"
"/connect","Using the Connect API","4A","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/map-state-to-props","mapStateToProps","4B","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/map-dispatch-to-props","mapDispatchToProps","4C","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/connect-taskmaster","Adding Connect to Taskmaster (Exercise)","4D","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/removing-an-item","Removing an Item","4E","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/updating-price-and-quantity","Updating Price and Quantity","4F","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/deriving-data","Deriving Data","4G","Connecting Redux to React","Getting started and an introduction to TypeScript && React Workshop"
"/reselect","Computing Data with Reselect","5A","Selectors and Reselect","Getting started and an introduction to TypeScript && React Workshop"
"/reselect-exercise","Using Props with Reselect","5B","Selectors and Reselect","Getting started and an introduction to TypeScript && React Workshop"
"/immer","Mutable Immutable State with Immer","6A","Immer","Getting started and an introduction to TypeScript && React Workshop"
"/immer","Using Immer with an Entire Reducer","6B","Immer","Getting started and an introduction to TypeScript && React Workshop"
"/redux-toolkit","Introduction to Redux Toolkit","7A","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/creating-a-slice","Creating a Slice of State","7B","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/creating-a-slice-exercise","Human Slice (Exercise)","7C","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/creating-a-slice-solution","Human Slice (Solution)","7D","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/slice-actions","Slice Actions","7E","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/create-action","Creating Actions","7F","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/extra-reducers","Extra Reducers","7G","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
"/create-async-thunk","Creating Async Thunks in Redux Toolkit","8A","Redux Toolkit","Getting started and an introduction to TypeScript && React Workshop"
